strategy,n_samples,accuracy,f1,auc,trainable_params,trainable_pct
full,10,0.915,0.9090909090909091,0.9904999999999999,85800194,100.0
standard_lora,10,0.855,0.8432432432432433,0.9451,7274498,8.463870739921337
ds_aware_lora,10,0.845,0.8268156424581006,0.9515,3638786,4.237358577846252
full,20,0.8,0.8333333333333334,0.9984999999999999,85800194,100.0
standard_lora,20,0.985,0.9849246231155779,0.9989,7274498,8.463870739921337
ds_aware_lora,20,0.94,0.9368421052631579,0.9951,3638786,4.237358577846252
full,50,0.745,0.6577181208053692,0.9942,85800194,100.0
standard_lora,50,0.99,0.9900990099009901,0.9996,7274498,8.463870739921337
ds_aware_lora,50,0.985,0.9850746268656716,0.9955999999999999,3638786,4.237358577846252
full,100,0.99,0.9900990099009901,0.9954,85800194,100.0
standard_lora,100,0.97,0.9696969696969697,0.9964,7274498,8.463870739921337
ds_aware_lora,100,0.97,0.9696969696969697,0.9928,3638786,4.237358577846252
full,200,0.99,0.9900990099009901,0.9984999999999999,85800194,100.0
standard_lora,200,0.99,0.9900990099009901,0.9989,7274498,8.463870739921337
ds_aware_lora,200,0.985,0.9849246231155779,0.9994999999999999,3638786,4.237358577846252
